epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8845,1.38466,2.29673,1.3772,0.83215,0.75117,0.82915,0.32332,1.92014,1.88295,1.58484,0.00332418,0.00332418,0.00332418
2,91.4525,1.29032,1.32796,1.29372,0.84185,0.85354,0.90986,0.50569,1.49207,1.07109,1.26752,0.00663005,0.00663005,0.00663005
3,128.237,1.33189,1.11861,1.35249,0.72475,0.26263,0.34842,0.11371,2.47032,2.4927,2.11285,0.00990842,0.00990842,0.00990842
4,165.478,1.34389,1.0524,1.36327,0.94771,0.91529,0.95088,0.55253,1.50005,0.87275,1.38109,0.00987625,0.00987625,0.00987625
5,202.056,1.28527,0.93508,1.34149,0.95462,0.74367,0.81767,0.52372,1.44736,1.40143,1.34744,0.009835,0.009835,0.009835
6,238.067,1.23512,0.84801,1.318,0.9466,0.88889,0.92923,0.66453,1.12323,0.86064,1.14976,0.00979375,0.00979375,0.00979375
7,275.501,1.18817,0.79511,1.28714,0.65676,0.72477,0.71442,0.51268,1.09845,3.76348,1.19864,0.0097525,0.0097525,0.0097525
8,312.105,1.18148,0.77185,1.2914,0.91952,0.78788,0.88524,0.55406,1.37948,1.00014,1.34232,0.00971125,0.00971125,0.00971125
9,347.8,1.14371,0.7394,1.26488,0.82815,0.59596,0.70273,0.45755,1.44686,1.76313,1.37005,0.00967,0.00967,0.00967
10,383.932,1.13777,0.7174,1.26545,0.86267,0.78283,0.83826,0.51319,1.5052,1.08819,1.46765,0.00962875,0.00962875,0.00962875
11,420.232,1.12966,0.71197,1.26321,0.79549,0.5202,0.62728,0.3724,1.60693,1.31302,1.48231,0.0095875,0.0095875,0.0095875
12,456.272,1.10431,0.67796,1.24073,0.97397,0.94503,0.97451,0.70101,1.0593,0.62786,1.10803,0.00954625,0.00954625,0.00954625
13,493.053,1.08716,0.65974,1.23333,0.84315,0.73302,0.80442,0.57981,1.16561,1.7247,1.17113,0.009505,0.009505,0.009505
14,530.544,1.07767,0.65705,1.21934,0.92361,0.91601,0.961,0.71674,1.00137,0.54926,1.07717,0.00946375,0.00946375,0.00946375
