epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.1082,0.65251,1.28807,1.00788,0.93279,0.97819,0.95237,0.8173,0.52197,4.21811,0.82263,0.000554638,0.000554638,0.000554638
2,135.877,0.67131,0.5887,1.00578,0.96158,0.97175,0.98177,0.84272,0.4801,7.01671,0.78603,0.00108832,0.00108832,0.00108832
3,192.341,0.66135,0.49307,1.00913,0.93625,0.96773,0.97977,0.84768,0.46446,1.32536,0.78622,0.0016,0.0016,0.0016
4,250.475,0.62327,0.43611,0.99303,0.9426,0.98308,0.99032,0.8696,0.5153,6.22736,0.86244,0.00156798,0.00156798,0.00156798
5,304.395,0.58914,0.3986,0.97826,0.99598,0.98023,0.9925,0.88568,0.47946,1.45378,0.83266,0.00153497,0.00153497,0.00153497
6,360.804,0.57618,0.37754,0.97065,0.99663,0.98588,0.99481,0.90349,0.45499,0.32642,0.81845,0.00150197,0.00150197,0.00150197
7,415.738,0.55874,0.35961,0.96453,0.99562,0.98775,0.99255,0.89039,0.45523,2.13307,0.78284,0.00146896,0.00146896,0.00146896
8,473.227,0.54454,0.34564,0.95887,0.99285,0.9774,0.99297,0.89807,0.38247,0.32953,0.77521,0.00143595,0.00143595,0.00143595
9,528.313,0.53323,0.33926,0.95394,0.99586,0.98862,0.99352,0.90519,0.36186,0.37605,0.76058,0.00140295,0.00140295,0.00140295
10,587.023,0.52844,0.32862,0.95359,0.99235,0.98024,0.9879,0.8987,0.40111,0.35218,0.75444,0.00136994,0.00136994,0.00136994
11,647.907,0.51695,0.31813,0.94592,0.98619,0.99718,0.99472,0.90911,0.34132,0.22652,0.72982,0.00133693,0.00133693,0.00133693
12,702.473,0.50835,0.31007,0.94544,0.99607,0.99153,0.99478,0.91352,0.38585,0.2071,0.73505,0.00130393,0.00130393,0.00130393
