epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.9413,1.20326,1.99745,1.18878,0.92295,0.75654,0.87039,0.38202,1.95304,2.13807,1.9334,0.000659649,0.000659649,0.000659649
2,40.3327,1.21105,1.36781,1.21958,0.87597,0.89213,0.92514,0.6591,1.11623,1.1104,1.17345,0.00131756,0.00131756,0.00131756
3,50.9947,1.18257,1.11013,1.21558,0.89151,0.62105,0.66676,0.30284,2.28458,2.06978,1.97252,0.00196668,0.00196668,0.00196668
4,62.0406,1.17543,0.95243,1.2122,0.91973,0.87368,0.93786,0.59071,1.34055,0.88556,1.22555,0.0019604,0.0019604,0.0019604
5,73.301,1.17454,0.85877,1.19633,0.86997,0.8,0.86637,0.59692,1.21635,0.86686,1.17152,0.0019472,0.0019472,0.0019472
6,86.3204,1.10709,0.79584,1.18387,0.97357,0.84211,0.94454,0.61508,1.36769,0.71342,1.25546,0.001934,0.001934,0.001934
7,97.0142,1.0975,0.75192,1.17005,0.96706,0.93684,0.95423,0.63137,1.36824,0.64007,1.23032,0.0019208,0.0019208,0.0019208
8,109.423,1.05974,0.71106,1.14547,0.98753,0.93684,0.95304,0.62227,1.41833,0.62964,1.26351,0.0019076,0.0019076,0.0019076
9,120.992,1.05046,0.70446,1.14627,0.98878,0.92794,0.96042,0.52947,1.7587,0.66869,1.53102,0.0018944,0.0018944,0.0018944
10,131.379,1.05784,0.66638,1.15224,0.95711,0.93951,0.94896,0.60517,1.54037,0.68176,1.46268,0.0018812,0.0018812,0.0018812
11,142.271,1.04771,0.68256,1.14093,0.97101,0.92632,0.97154,0.67231,1.30673,0.58936,1.2352,0.001868,0.001868,0.001868
12,153.518,1.03012,0.64611,1.12878,0.98669,0.93684,0.96327,0.62511,1.47044,0.58234,1.31062,0.0018548,0.0018548,0.0018548
13,165.373,1.01757,0.64769,1.1362,0.93295,0.89474,0.93958,0.7123,0.84213,0.63383,1.04825,0.0018416,0.0018416,0.0018416
14,176.935,1.0343,0.63723,1.1365,0.95732,0.94737,0.95691,0.61607,1.51486,0.61588,1.3811,0.0018284,0.0018284,0.0018284
15,188.972,0.96,0.6073,1.10957,0.96828,0.96387,0.98033,0.74019,1.02609,0.49537,1.07787,0.0018152,0.0018152,0.0018152
16,203.643,0.99655,0.62688,1.12432,0.98385,0.94737,0.95632,0.73573,0.97316,0.48722,1.05737,0.001802,0.001802,0.001802
17,215.106,0.94568,0.59407,1.08871,0.9888,0.93684,0.97567,0.62132,1.51376,0.5612,1.37447,0.0017888,0.0017888,0.0017888
18,227.343,0.93274,0.59283,1.09811,0.97802,0.93659,0.96809,0.71234,1.10455,0.49758,1.13689,0.0017756,0.0017756,0.0017756
19,239.862,0.91255,0.5838,1.09269,0.99852,0.91579,0.97431,0.76796,0.8969,0.46547,1.01942,0.0017624,0.0017624,0.0017624
20,253.547,0.8946,0.55747,1.07862,0.96071,0.90526,0.95636,0.73144,0.97015,0.50723,1.05304,0.0017492,0.0017492,0.0017492
21,268.241,0.91931,0.57366,1.07688,0.99805,0.95789,0.9669,0.75931,0.94212,0.48067,1.03393,0.001736,0.001736,0.001736
22,280.109,0.88509,0.54177,1.0576,0.98888,0.93623,0.97457,0.77845,0.9267,0.50855,1.03626,0.0017228,0.0017228,0.0017228
23,292.834,0.89875,0.55114,1.08049,0.99659,0.93684,0.9891,0.76273,0.97275,0.4752,1.05798,0.0017096,0.0017096,0.0017096
24,306.299,0.90282,0.55237,1.0698,0.989,0.94648,0.98208,0.71345,1.16221,0.50956,1.13864,0.0016964,0.0016964,0.0016964
25,320.943,0.87282,0.53269,1.05997,0.98911,0.95629,0.97807,0.75759,0.93369,0.46073,1.06685,0.0016832,0.0016832,0.0016832
26,334.438,0.87844,0.5217,1.0623,0.98514,0.92632,0.97699,0.72464,1.05368,0.52103,1.10036,0.00167,0.00167,0.00167
27,349.33,0.8781,0.51997,1.07001,0.99742,0.94737,0.98244,0.7092,1.25478,0.47131,1.22552,0.0016568,0.0016568,0.0016568
28,363.342,0.88521,0.53313,1.06828,0.98874,0.94737,0.9859,0.79372,0.82029,0.41099,0.97878,0.0016436,0.0016436,0.0016436
29,376.204,0.88292,0.53026,1.06482,0.95897,0.98422,0.99154,0.81164,0.81865,0.43046,0.98658,0.0016304,0.0016304,0.0016304
30,390.462,0.86838,0.51917,1.05943,0.9687,0.97736,0.99262,0.77608,0.90178,0.40932,1.03707,0.0016172,0.0016172,0.0016172
31,404.873,0.86055,0.51984,1.06194,0.99855,0.94737,0.99216,0.73616,1.0968,0.48792,1.16433,0.001604,0.001604,0.001604
32,420.823,0.89024,0.53219,1.06515,0.959,0.9848,0.99232,0.79855,0.83084,0.43975,1.01044,0.0015908,0.0015908,0.0015908
33,438.007,0.83199,0.50794,1.04911,1,0.94479,0.98116,0.80587,0.79253,0.42596,0.97674,0.0015776,0.0015776,0.0015776
34,456.246,0.82837,0.50014,1.0393,1,0.93453,0.98623,0.7084,1.22253,0.46524,1.22014,0.0015644,0.0015644,0.0015644
35,474.293,0.82863,0.50752,1.04429,0.98856,0.94737,0.98557,0.80409,0.81567,0.38916,0.99977,0.0015512,0.0015512,0.0015512
36,491.252,0.85172,0.5039,1.0671,0.98531,0.94737,0.98556,0.80956,0.76638,0.41884,0.96189,0.001538,0.001538,0.001538
37,504.419,0.83886,0.49905,1.05482,0.989,0.94663,0.9756,0.81489,0.76664,0.45869,0.96662,0.0015248,0.0015248,0.0015248
38,518.845,0.83944,0.49485,1.0414,0.9784,0.95353,0.98498,0.79565,0.86859,0.43438,0.99682,0.0015116,0.0015116,0.0015116
39,533.415,0.80151,0.47838,1.03448,0.9972,0.95789,0.99276,0.78694,0.84081,0.40045,1.00732,0.0014984,0.0014984,0.0014984
40,548.06,0.82774,0.48797,1.05054,1,0.93932,0.97499,0.78211,0.83128,0.41582,0.99573,0.0014852,0.0014852,0.0014852
41,565.942,0.80999,0.47419,1.03517,0.98883,0.95789,0.99172,0.74943,1.08116,0.44011,1.10765,0.001472,0.001472,0.001472
42,583.482,0.81014,0.48452,1.03767,1,0.93606,0.98471,0.84038,0.63712,0.41141,0.91758,0.0014588,0.0014588,0.0014588
43,599.223,0.80723,0.48,1.03828,0.97847,0.9568,0.98999,0.81838,0.73859,0.39884,0.95941,0.0014456,0.0014456,0.0014456
44,616.142,0.79293,0.45995,1.02344,0.97726,0.95789,0.98804,0.82303,0.67628,0.36599,0.9312,0.0014324,0.0014324,0.0014324
45,633.894,0.81437,0.47725,1.03949,0.98731,0.94737,0.98381,0.8063,1.0208,0.43094,1.13291,0.0014192,0.0014192,0.0014192
46,650.29,0.82171,0.48154,1.03684,0.97817,0.96842,0.98634,0.81592,0.70388,0.36158,0.94767,0.001406,0.001406,0.001406
47,666.175,0.80793,0.4692,1.04137,0.97848,0.95711,0.9914,0.81701,0.74396,0.44564,0.96906,0.0013928,0.0013928,0.0013928
48,681.502,0.7876,0.45426,1.02592,0.97851,0.95843,0.9829,0.77497,1.09876,0.44076,1.22521,0.0013796,0.0013796,0.0013796
49,698.061,0.80696,0.4733,1.03574,0.9952,0.94737,0.98351,0.81469,0.85049,0.37534,1.01101,0.0013664,0.0013664,0.0013664
50,713.385,0.78234,0.46271,1.02687,0.989,0.94634,0.9884,0.83298,0.79844,0.49574,0.98401,0.0013532,0.0013532,0.0013532
51,730.257,0.80077,0.4692,1.03804,0.9791,0.9862,0.99141,0.83914,0.65743,0.36681,0.93521,0.00134,0.00134,0.00134
52,748.095,0.7721,0.45249,1.01318,0.98911,0.95598,0.99003,0.81992,1.02689,0.41138,1.1685,0.0013268,0.0013268,0.0013268
53,765.373,0.78527,0.44108,1.0205,0.98806,0.95789,0.98833,0.8446,0.65184,0.35895,0.92667,0.0013136,0.0013136,0.0013136
54,782.023,0.75549,0.44045,1.00547,0.98757,0.95789,0.98155,0.83321,0.74244,0.35956,0.95125,0.0013004,0.0013004,0.0013004
55,797.765,0.75755,0.43385,1.00904,0.99437,0.95789,0.98046,0.81519,1.01173,0.39663,1.15603,0.0012872,0.0012872,0.0012872
56,814.048,0.75652,0.44627,1.01232,0.92884,0.96176,0.98497,0.80462,1.08117,0.4824,1.14831,0.001274,0.001274,0.001274
57,828.492,0.75355,0.44365,1.01094,0.99486,0.96842,0.99017,0.83392,0.83559,0.35069,1.05607,0.0012608,0.0012608,0.0012608
58,840.991,0.74587,0.42948,1.01596,0.9882,0.95789,0.9797,0.83893,0.73588,0.33288,0.95988,0.0012476,0.0012476,0.0012476
59,856.447,0.75469,0.43811,1.01211,0.9787,0.96732,0.9852,0.83381,0.81345,0.36622,0.99912,0.0012344,0.0012344,0.0012344
60,872.555,0.73126,0.43202,1.00516,0.98923,0.96652,0.9846,0.83804,0.75394,0.35746,0.97152,0.0012212,0.0012212,0.0012212
61,886.316,0.75389,0.43337,1.01135,0.96871,0.97773,0.99136,0.82214,0.86954,0.38865,1.01697,0.001208,0.001208,0.001208
62,899.737,0.75182,0.43189,1.00941,0.98714,0.96842,0.98501,0.8397,0.74459,0.34099,0.97086,0.0011948,0.0011948,0.0011948
63,913.413,0.7286,0.43109,0.99494,0.97086,0.96842,0.98443,0.82632,0.89752,0.37855,1.08162,0.0011816,0.0011816,0.0011816
64,929.392,0.73897,0.42656,0.99467,0.98816,0.96842,0.97549,0.81469,0.97891,0.39014,1.15447,0.0011684,0.0011684,0.0011684
65,945.418,0.73548,0.42046,0.99974,0.9889,0.93802,0.98581,0.83659,0.88827,0.38647,1.05723,0.0011552,0.0011552,0.0011552
66,959.646,0.71147,0.41213,0.98493,0.9865,0.93684,0.98126,0.825,0.8527,0.40469,1.02078,0.001142,0.001142,0.001142
67,975.946,0.71267,0.41346,0.99411,0.98758,0.95789,0.98266,0.83249,0.86749,0.38837,1.03932,0.0011288,0.0011288,0.0011288
68,991.256,0.72955,0.41627,1.00499,0.98821,0.94737,0.98309,0.80951,0.96632,0.38833,1.11687,0.0011156,0.0011156,0.0011156
69,1003.83,0.71782,0.41349,1.00102,0.97227,0.98947,0.98757,0.82385,1.0001,0.39787,1.21136,0.0011024,0.0011024,0.0011024
70,1016.78,0.7242,0.41762,0.99942,0.96384,0.98947,0.99228,0.83173,0.91193,0.3665,1.06053,0.0010892,0.0010892,0.0010892
71,1031.76,0.72051,0.41434,1.00103,0.98934,0.97696,0.99059,0.81321,1.04008,0.39471,1.18609,0.001076,0.001076,0.001076
72,1046.59,0.72425,0.41777,0.99642,0.97866,0.96552,0.98542,0.83474,0.88281,0.37751,1.09249,0.0010628,0.0010628,0.0010628
73,1063.26,0.72729,0.41361,0.99915,0.98934,0.97721,0.99361,0.84002,0.88803,0.34143,1.0752,0.0010496,0.0010496,0.0010496
74,1078.09,0.7019,0.3982,0.98832,0.97912,0.98712,0.98863,0.83974,0.83497,0.36355,1.06763,0.0010364,0.0010364,0.0010364
75,1092.18,0.70043,0.40447,0.98476,0.97914,0.98798,0.99137,0.86024,0.70643,0.32459,0.95853,0.0010232,0.0010232,0.0010232
76,1106.28,0.70024,0.39864,0.98278,0.95866,0.97637,0.989,0.85357,0.67428,0.31416,0.94357,0.00101,0.00101,0.00101
77,1120.81,0.70942,0.4016,0.98995,0.97884,0.98947,0.99381,0.85586,0.77963,0.33322,1.00902,0.0009968,0.0009968,0.0009968
78,1137.18,0.69929,0.39792,0.98625,0.98622,0.96842,0.99347,0.84741,0.75517,0.34797,0.99031,0.0009836,0.0009836,0.0009836
79,1152.6,0.68056,0.3916,0.97984,0.98768,0.95789,0.9926,0.83489,1.01695,0.36692,1.19812,0.0009704,0.0009704,0.0009704
80,1169.55,0.69081,0.39165,0.99067,0.97461,0.96842,0.98722,0.8445,0.74831,0.39423,0.99291,0.0009572,0.0009572,0.0009572
81,1186.68,0.68537,0.39946,0.98,0.96671,0.96842,0.99157,0.82838,0.85141,0.35965,1.02949,0.000944,0.000944,0.000944
82,1201.96,0.68971,0.39635,0.98175,0.98921,0.96548,0.9905,0.83589,0.76698,0.33185,0.97245,0.0009308,0.0009308,0.0009308
83,1217.74,0.68965,0.39924,0.98014,0.98234,0.97895,0.9936,0.8566,0.61589,0.29823,0.90867,0.0009176,0.0009176,0.0009176
84,1234.19,0.69188,0.39489,0.98243,0.97891,0.97718,0.99048,0.8516,0.69169,0.31443,0.94286,0.0009044,0.0009044,0.0009044
85,1251.6,0.67282,0.38501,0.97341,0.98872,0.97895,0.99388,0.87265,0.73218,0.3078,0.98139,0.0008912,0.0008912,0.0008912
86,1268.66,0.69676,0.38865,0.98127,0.99983,0.95789,0.99348,0.85761,0.76565,0.32744,0.99286,0.000878,0.000878,0.000878
87,1286.27,0.67699,0.37935,0.98193,0.98934,0.9769,0.99133,0.84916,0.8578,0.34738,1.05447,0.0008648,0.0008648,0.0008648
88,1302.35,0.69216,0.39264,0.9836,0.98867,0.97895,0.99428,0.84095,0.91405,0.34963,1.12313,0.0008516,0.0008516,0.0008516
89,1318.41,0.6915,0.38368,0.98323,0.98928,0.97177,0.99408,0.8493,0.89928,0.35783,1.10111,0.0008384,0.0008384,0.0008384
90,1334.63,0.67369,0.38378,0.96902,0.98947,0.98907,0.99437,0.85107,0.82945,0.34726,1.04561,0.0008252,0.0008252,0.0008252
91,1351.34,0.64279,0.37493,0.97026,0.98356,0.98947,0.99338,0.86417,0.62137,0.29456,0.91545,0.000812,0.000812,0.000812
92,1364.9,0.66891,0.38005,0.97353,0.97872,0.97895,0.99271,0.85806,0.64983,0.29909,0.92232,0.0007988,0.0007988,0.0007988
93,1382.39,0.65987,0.37331,0.96792,0.98641,0.97895,0.98889,0.84861,0.76929,0.32474,1.00224,0.0007856,0.0007856,0.0007856
94,1400.85,0.64128,0.36351,0.9606,0.99806,0.95789,0.97947,0.85175,0.60439,0.31254,0.91224,0.0007724,0.0007724,0.0007724
95,1414.09,0.66159,0.37347,0.97393,0.9878,0.96842,0.99009,0.83306,0.92659,0.36113,1.0994,0.0007592,0.0007592,0.0007592
96,1428.89,0.65551,0.36878,0.96778,0.98767,0.95789,0.98858,0.85389,0.80296,0.32269,1.00439,0.000746,0.000746,0.000746
97,1444.11,0.65434,0.37236,0.96785,0.97846,0.97895,0.98304,0.84488,0.74533,0.31793,0.96868,0.0007328,0.0007328,0.0007328
98,1458.39,0.6583,0.36661,0.96335,0.98932,0.97515,0.98894,0.86515,0.62624,0.29867,0.91581,0.0007196,0.0007196,0.0007196
99,1472.88,0.66468,0.37656,0.96815,0.98841,0.98947,0.99247,0.8538,0.79358,0.32479,1.0248,0.0007064,0.0007064,0.0007064
100,1488.46,0.65153,0.36885,0.96068,0.98822,0.97895,0.98977,0.87141,0.66446,0.31389,0.936,0.0006932,0.0006932,0.0006932
101,1502.66,0.65495,0.36967,0.97382,0.97833,0.97895,0.98587,0.85422,0.6284,0.27167,0.92971,0.00068,0.00068,0.00068
102,1518.17,0.64311,0.35955,0.95914,0.98787,0.98947,0.99327,0.87183,0.64218,0.28702,0.9188,0.0006668,0.0006668,0.0006668
103,1532.84,0.65286,0.36259,0.96678,0.98779,0.97895,0.99396,0.87313,0.59706,0.27821,0.90671,0.0006536,0.0006536,0.0006536
104,1547,0.63808,0.36226,0.96119,0.98866,0.97895,0.99142,0.87691,0.59018,0.28197,0.90794,0.0006404,0.0006404,0.0006404
105,1562.62,0.64132,0.36007,0.96454,0.97839,0.98947,0.99348,0.86508,0.68348,0.32107,0.94631,0.0006272,0.0006272,0.0006272
106,1577.57,0.62341,0.35092,0.95692,0.97937,0.99928,0.99438,0.84756,0.80623,0.32187,1.02949,0.000614,0.000614,0.000614
107,1593.12,0.65791,0.36426,0.97632,0.98934,0.9771,0.99369,0.86483,0.81229,0.31013,1.05087,0.0006008,0.0006008,0.0006008
108,1607.72,0.63895,0.3538,0.96382,0.97831,0.96842,0.99327,0.88118,0.64163,0.27929,0.93368,0.0005876,0.0005876,0.0005876
109,1622.73,0.62568,0.35535,0.96312,0.9883,0.97895,0.99407,0.86847,0.66845,0.29215,0.95369,0.0005744,0.0005744,0.0005744
110,1637.57,0.62452,0.3522,0.95875,0.98923,0.97895,0.99313,0.86245,0.67284,0.28789,0.94453,0.0005612,0.0005612,0.0005612
111,1651.92,0.63227,0.35511,0.9553,0.98707,0.98947,0.994,0.86603,0.57874,0.27001,0.90672,0.000548,0.000548,0.000548
112,1666.15,0.60836,0.34146,0.94891,0.98833,0.97895,0.98936,0.86615,0.70658,0.29005,0.98207,0.0005348,0.0005348,0.0005348
113,1682.61,0.60605,0.34407,0.94652,0.97914,0.98841,0.99417,0.87342,0.5808,0.27188,0.89663,0.0005216,0.0005216,0.0005216
114,1698.95,0.61262,0.34157,0.94932,0.98923,0.96714,0.99302,0.88129,0.54168,0.26133,0.88578,0.0005084,0.0005084,0.0005084
115,1713.92,0.61242,0.34047,0.94765,0.98507,0.96842,0.99318,0.86466,0.95163,0.33503,1.17966,0.0004952,0.0004952,0.0004952
116,1729.67,0.61389,0.33658,0.94464,0.97935,0.99869,0.99418,0.87457,0.59863,0.29217,0.8992,0.000482,0.000482,0.000482
