epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1383,1.27776,2.21791,1.2863,1,0.33335,0.81891,0.50727,1.34789,2.58947,1.23022,0.00065625,0.00065625,0.00065625
2,30.5843,1.22284,1.46281,1.25365,0.83908,0.60379,0.72972,0.21134,2.272,2.41295,2.03859,0.00131419,0.00131419,0.00131419
3,37.6382,1.24618,1.29992,1.27396,0.77376,0.82803,0.83662,0.55027,1.29041,1.32471,1.33975,0.00196332,0.00196332,0.00196332
4,44.9249,1.239,1.12054,1.28145,0.59191,0.62105,0.70653,0.30634,2.02833,3.37649,1.80914,0.0019604,0.0019604,0.0019604
5,51.887,1.23255,0.97629,1.2534,0.96665,0.91523,0.94578,0.68454,1.08821,0.72329,1.20626,0.0019472,0.0019472,0.0019472
6,58.9164,1.25009,0.95388,1.29529,0.93611,0.9254,0.93411,0.54557,1.64031,0.8636,1.41343,0.001934,0.001934,0.001934
7,66.1148,1.19515,0.8418,1.24951,0.91128,0.86316,0.92357,0.47748,1.8216,0.8226,1.62756,0.0019208,0.0019208,0.0019208
8,73.2066,1.17504,0.80955,1.24916,0.94763,0.96842,0.97506,0.57361,1.63269,0.84386,1.48566,0.0019076,0.0019076,0.0019076
9,80.3385,1.14596,0.79972,1.23571,0.98534,0.90526,0.92986,0.39156,2.17099,1.00718,1.91496,0.0018944,0.0018944,0.0018944
10,87.2565,1.15783,0.78651,1.22653,0.97794,0.93684,0.96077,0.43769,2.12973,0.84509,1.85275,0.0018812,0.0018812,0.0018812
11,94.1432,1.149,0.75758,1.22813,0.97561,0.94737,0.98419,0.62404,1.56905,0.72477,1.45948,0.001868,0.001868,0.001868
12,101.002,1.13344,0.71188,1.21442,0.98808,0.94737,0.95517,0.4791,1.99914,0.72804,1.74384,0.0018548,0.0018548,0.0018548
13,107.806,1.1277,0.71978,1.2086,0.98852,0.93684,0.96125,0.5922,1.52282,0.62088,1.36635,0.0018416,0.0018416,0.0018416
14,114.666,1.12819,0.71293,1.21863,0.98837,0.94737,0.97134,0.59335,1.58794,0.64595,1.38055,0.0018284,0.0018284,0.0018284
15,121.842,1.07359,0.67703,1.18647,0.96772,0.94664,0.95697,0.48781,1.82575,0.68011,1.60701,0.0018152,0.0018152,0.0018152
16,129.154,1.12303,0.68362,1.21449,0.96116,0.94737,0.96895,0.64958,1.28432,0.63917,1.22199,0.001802,0.001802,0.001802
17,135.868,1.09716,0.67146,1.18644,0.98881,0.93047,0.98029,0.65512,1.37517,0.61269,1.26788,0.0017888,0.0017888,0.0017888
18,142.57,1.07659,0.64696,1.1778,0.94722,0.94464,0.94871,0.62182,1.52308,0.61548,1.33707,0.0017756,0.0017756,0.0017756
19,149.179,1.06045,0.65331,1.17794,0.99155,0.94737,0.98799,0.65713,1.35904,0.52415,1.24201,0.0017624,0.0017624,0.0017624
20,156.144,1.05921,0.64308,1.17484,0.98771,0.94737,0.97904,0.6987,1.17408,0.50076,1.15466,0.0017492,0.0017492,0.0017492
21,162.769,1.06608,0.6398,1.1696,0.95629,0.95789,0.97853,0.65419,1.34696,0.54419,1.27247,0.001736,0.001736,0.001736
22,169.274,1.05695,0.63774,1.17696,0.99101,0.94737,0.98734,0.67909,1.32057,0.51834,1.24042,0.0017228,0.0017228,0.0017228
23,175.769,1.02464,0.61898,1.15333,0.98578,0.95789,0.97301,0.66412,1.27855,0.53911,1.25317,0.0017096,0.0017096,0.0017096
24,182.369,1.04631,0.63231,1.17017,0.96145,0.91579,0.95329,0.70686,1.03201,0.80407,1.08573,0.0016964,0.0016964,0.0016964
25,189.195,1.04584,0.6315,1.16567,1,0.91203,0.96721,0.67838,1.20263,0.57606,1.15741,0.0016832,0.0016832,0.0016832
26,196.1,1.0149,0.60597,1.15371,0.98806,0.94737,0.96819,0.73808,1.09104,0.57039,1.11723,0.00167,0.00167,0.00167
27,202.701,0.99562,0.5924,1.14937,0.99761,0.94737,0.9876,0.62576,1.51204,0.54485,1.36386,0.0016568,0.0016568,0.0016568
28,209.238,1.00246,0.61069,1.14816,0.96768,0.9456,0.97054,0.72179,1.10101,0.48595,1.11923,0.0016436,0.0016436,0.0016436
29,215.979,0.94895,0.57355,1.11597,0.978,0.94737,0.9782,0.70394,1.24531,0.56041,1.20356,0.0016304,0.0016304,0.0016304
30,222.815,0.96383,0.58049,1.10947,0.98746,0.96842,0.98592,0.76093,1.03183,0.44386,1.07647,0.0016172,0.0016172,0.0016172
31,230.073,0.94885,0.57605,1.10493,0.98812,0.95789,0.98686,0.70697,1.40989,0.53545,1.41264,0.001604,0.001604,0.001604
32,236.848,0.96661,0.56995,1.11926,0.97883,0.9734,0.99357,0.73687,1.02449,0.44552,1.06369,0.0015908,0.0015908,0.0015908
33,243.287,0.94108,0.5692,1.10449,0.98922,0.96616,0.98897,0.73459,0.99802,0.47246,1.05823,0.0015776,0.0015776,0.0015776
34,249.963,0.96192,0.5664,1.11833,0.97885,0.97416,0.99042,0.67226,1.34401,0.49257,1.24932,0.0015644,0.0015644,0.0015644
35,256.619,0.92542,0.54271,1.09349,0.99608,0.94737,0.98107,0.76091,0.8383,0.44279,0.99855,0.0015512,0.0015512,0.0015512
