epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0138,0.68363,0.37586,0.96283,0.98415,0.97564,0.99296,0.88566,0.56122,0.30339,0.8759,0.000663912,0.000663912,0.000663912
2,71.1193,0.67205,0.37864,0.95442,0.99021,0.9856,0.99466,0.86854,0.5778,0.302,0.87261,0.00129765,0.00129765,0.00129765
3,98.8404,0.68533,0.38702,0.96415,0.98899,0.98483,0.99458,0.81398,0.75079,0.3511,0.90229,0.00189838,0.00189838,0.00189838
4,128.15,0.68443,0.38691,0.96158,0.99265,0.98739,0.99457,0.81471,0.70649,0.34173,0.8929,0.0018515,0.0018515,0.0018515
5,158.133,0.68316,0.38485,0.96156,0.98054,0.98191,0.99424,0.86319,0.57526,0.33777,0.85094,0.001802,0.001802,0.001802
6,187.718,0.66434,0.37546,0.95274,0.99162,0.98904,0.99474,0.87526,0.55928,0.29847,0.84517,0.0017525,0.0017525,0.0017525
7,216.64,0.66232,0.37014,0.95399,0.9818,0.98552,0.99439,0.81282,0.72659,0.34068,0.88909,0.001703,0.001703,0.001703
8,244.742,0.66058,0.37103,0.94697,0.98723,0.98782,0.99469,0.8401,0.66339,0.33672,0.87837,0.0016535,0.0016535,0.0016535
9,272.637,0.65216,0.36535,0.94875,0.99386,0.9856,0.99463,0.87493,0.53388,0.28828,0.83484,0.001604,0.001604,0.001604
10,299.38,0.63012,0.35329,0.93392,0.99384,0.9824,0.99447,0.89746,0.44601,0.29682,0.82597,0.0015545,0.0015545,0.0015545
11,328.432,0.63216,0.35296,0.936,0.983,0.98587,0.99431,0.90872,0.43939,0.28472,0.82791,0.001505,0.001505,0.001505
12,357.555,0.63115,0.35485,0.9371,0.99352,0.98904,0.99483,0.87234,0.5431,0.28259,0.8386,0.0014555,0.0014555,0.0014555
13,386.011,0.61901,0.34515,0.93181,0.99009,0.97331,0.9944,0.91042,0.4472,0.2632,0.8225,0.001406,0.001406,0.001406
14,415.261,0.61284,0.34347,0.93149,0.99198,0.97929,0.99443,0.92379,0.40761,0.27133,0.81392,0.0013565,0.0013565,0.0013565
15,444.646,0.60543,0.34092,0.92921,0.98777,0.98394,0.99435,0.91092,0.45039,0.26984,0.82592,0.001307,0.001307,0.001307
16,472.435,0.59928,0.32903,0.92516,0.99388,0.98051,0.99479,0.90952,0.46726,0.2544,0.82508,0.0012575,0.0012575,0.0012575
17,503.687,0.60207,0.33006,0.92853,0.99753,0.98519,0.99487,0.90126,0.47419,0.25215,0.82405,0.001208,0.001208,0.001208
