epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.9394,1.07206,1.25642,1.095,0.99329,0.98611,0.98547,0.66957,1.22494,1.44772,1.06832,0.00026,0.00026,0.00026
2,26.5786,1.02522,1.09031,1.09054,0.95033,0.97222,0.98661,0.64805,1.33445,1.35053,1.1079,0.00052218,0.00052218,0.00052218
3,29.0701,1.04151,1.10104,1.08713,0.96969,0.98611,0.98957,0.63907,1.26341,1.22098,1.04937,0.00076588,0.00076588,0.00076588
4,32.9396,0.9915,1.05965,1.09632,0.9709,0.95833,0.98162,0.63064,1.34115,1.42532,1.11028,0.0009911,0.0009911,0.0009911
5,35.0284,0.99805,1.00893,1.06437,0.98602,0.9794,0.99366,0.63415,1.31707,1.12339,1.09782,0.00119784,0.00119784,0.00119784
6,37.0216,0.97955,0.97045,1.06152,0.97733,0.98611,0.99076,0.6677,1.15805,1.0363,1.04274,0.0013861,0.0013861,0.0013861
7,39.0116,0.96401,0.93251,1.0528,0.98227,0.98611,0.9835,0.56402,1.5261,1.22997,1.27966,0.00155588,0.00155588,0.00155588
8,41.1069,1.02092,0.9483,1.094,0.95303,0.98611,0.98803,0.70779,1.12477,0.9081,1.04384,0.001538,0.001538,0.001538
9,43.2405,1.0171,0.94622,1.13672,0.95895,0.98611,0.99421,0.627,1.25389,1.27288,1.15877,0.001472,0.001472,0.001472
10,45.3642,0.99925,0.9332,1.08384,0.98022,0.97222,0.99185,0.65545,1.27018,0.99961,1.16697,0.001406,0.001406,0.001406
11,47.3136,1.00468,0.89399,1.07803,0.97112,1,0.98294,0.6591,1.20723,0.81984,1.12144,0.00134,0.00134,0.00134
12,49.2862,0.93257,0.81387,1.04845,0.95712,1,0.98748,0.68109,1.17589,0.75625,1.06534,0.001274,0.001274,0.001274
13,51.241,0.92401,0.78236,1.0524,0.95891,1,0.98848,0.68765,1.14955,0.76258,1.07763,0.001208,0.001208,0.001208
14,53.2439,0.95568,0.75091,1.02058,0.97261,1,0.99226,0.69053,1.19653,0.70029,1.04673,0.001142,0.001142,0.001142
15,55.256,0.89259,0.73416,1.04211,0.97142,0.98611,0.99145,0.69948,1.15161,0.62663,1.02713,0.001076,0.001076,0.001076
16,57.291,0.94147,0.74801,1.04875,1,0.98192,0.99309,0.61445,1.51309,0.71628,1.20683,0.00101,0.00101,0.00101
17,59.3907,0.95571,0.72283,1.05812,0.98094,0.95833,0.99087,0.68957,1.18428,0.67007,1.06005,0.000944,0.000944,0.000944
18,61.458,0.92166,0.6956,1.02641,0.99883,0.93056,0.98834,0.64591,1.303,0.71393,1.08035,0.000878,0.000878,0.000878
19,63.4394,0.90044,0.68334,1.00061,0.99729,0.94444,0.99077,0.72639,1.08476,0.64303,0.98415,0.000812,0.000812,0.000812
20,67.1826,0.90082,0.67925,1.0102,0.98989,0.95833,0.99286,0.68008,1.25105,0.73263,1.04046,0.000746,0.000746,0.000746
21,71.9366,0.87535,0.75028,1.02098,0.98621,0.9934,0.99445,0.6913,1.18002,0.64982,1.00412,0.00068,0.00068,0.00068
22,74.7641,0.83985,0.69357,0.99787,0.9721,0.96805,0.99255,0.62816,1.38404,0.68108,1.10013,0.000614,0.000614,0.000614
23,76.7394,0.83868,0.67113,0.99684,0.97257,0.98497,0.99379,0.72759,1.07835,0.60011,0.99078,0.000548,0.000548,0.000548
24,78.6214,0.80943,0.65882,1.0068,0.95846,1,0.9942,0.6853,1.20953,0.61124,1.05188,0.000482,0.000482,0.000482
25,80.6465,0.7718,0.63873,0.96931,0.99471,1,0.995,0.68488,1.21996,0.58744,1.05784,0.000416,0.000416,0.000416
26,82.5091,0.7331,0.61651,0.96001,0.95885,1,0.99433,0.74789,0.97992,0.52307,0.9531,0.00035,0.00035,0.00035
27,84.4576,0.73197,0.61357,0.95354,0.95893,1,0.99335,0.75611,0.9451,0.51638,0.94302,0.000284,0.000284,0.000284
28,86.4852,0.69528,0.5829,0.93574,0.97761,1,0.9939,0.79744,0.80347,0.48114,0.90064,0.000218,0.000218,0.000218
29,88.4725,0.7421,0.59581,0.9481,0.95998,1,0.99349,0.79482,0.82928,0.47546,0.90456,0.000152,0.000152,0.000152
30,90.4703,0.6954,0.54971,0.94423,0.95932,1,0.9939,0.79625,0.83046,0.47157,0.90662,8.6e-05,8.6e-05,8.6e-05
